Endpoint Definition,,,,,,,,,,,,
,,,,,,,,,,,,
Service,,,,,,,,,,,,
,Code,Name,Cost Summary,Product Ranking,CHAIN,External,Product Analysis 5,Product Analysis 6,Service Button,,,
,AC,Accommodation,AC,,,,,,10,,,
,AV,Activities,NA,,,,,,0,,,
,CN,Credit note,,,,,,,0,,,
,CR,Cruises,NA,,,,,,91,,,
,CX,Cancelation fee,,,,,,,0,,,
,EF,Entrance Fees / Attractions,EF,,,,,,0,,,
,FL,Flights,FL,,,,,,0,,,
,GD,Guides,,,,,,,0,,,
,GP,Group tour package,PK,,,,,,50,,,
,GT,Group Tour,,,,,,,80,,,
,IT,Itinerary Description,,,,,,,0,,,
,ME,Meals and Beverage,NA,,,,,,0,,,
,MG,Meet and Greet,,,,,,,0,,,
,PF,Park Fee / Permit,,,,,,,0,,,
,PK,Package,PK,,,,,,50,,,
,RC,Rental Cars,RC,,,,,,0,,,
,RL,Rail,,,,,,,90,,,
,SP,Special Deals,,,,,,,95,,,
,SS,Sightseeing / Day Tour,NA,,,,,,96,,,
,SU,Sundry,,,,,,,0,,,
,TF,Transfer,TR,,,,,,0,,,
,,,,,,,,,,,,
Price Code,,,,,,,,,,,,
,Code,Description,Sale Period,FIT Markup,Group Markup,Commission,Sell Rounding,,,,,
,,Unassigned,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,E1,Earlybird,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,HM,Honeymoon Rate,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,MR,Manual Rate,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,PK,Package price,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,S1,Special,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,S2,Special 2,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,S3,Special 3,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,S4,Special 4,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,ST,Standard,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,WE,Standard Weekend,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,X1,Expo discount,Unrestricted,0.00%,0.00%,0.00%,None,,,,,
,,,,,,,,,,,,
Tax,,,,,,,,,,,,
,Tax,Name,Rate,Tax Type,Apply Tax,Separate,Airline Tax Code,,,,,
,,Unassigned,0,Percentage Rate Value,After Markup,,,,,,,
,,,,,,,,,,,,
Allocation Split,,,,,,,,,,,,
,Code,Description,,,,,,,,,,
,GENERAL,General Allotment,,,,,,,,,,
,,,,,,,,,,,,
Allocation Unit,,,,,,,,,,,,
,Unit,Description,Twin,Double,Single,Triple,Quad,Other,Pax Based Allocation,Child,Infant,supplierConnect Enabled
,PX,Pax,,,,,,,,,,
,RM,Rooms,,,,,,,,,,
,,,,,,,,,,,,
Locality,,,,,,,,,,,,
,Code,Description,,,,,,,,,,
,,Unassigned,,,,,,,,,,
,ADA,Addis Ababa Airport,,,,,,,,,,
,ADC,Addis Ababa CBD,,,,,,,,,,
,AIS,Ais Ais Springs,,,,,,,,,,
,ANA,Mara-Angama Airfield,,,,,,,,,,
,AND,Andersson's Gate,,,,,,,,,,
,ANT,Antananarivo CBD,,,,,,,,,,
,ARC,Arcadia,,,,,,,,,,
,ARK,Arusha Airport,,,,,,,,,,
,ARS,Arusha Town,,,,,,,,,,
,AUS,Aus,,,,,,,,,,
,BAB,Bantry Bay,,,,,,,,,,
,BAZ,Bazaruto Archipelago,,,,,,,,,,
,BBG,Bela Bela Game Reserve,,,,,,,,,,
,BBK,Kasane Airport,,,,,,,,,,
,BEM,Belle Mare,,,,,,,,,,
,,,,,,,,,,,,
Class,,,,,,,,,,,,
,Code,Description,,,,,,,,,,
,,Unassigned,,,,,,,,,,
,1S,1 Star,,,,,,,,,,
,2S,2 Star,,,,,,,,,,
,3S,3 Star,,,,,,,,,,
,4S,4 Star,,,,,,,,,,
,5S,5 Star,,,,,,,,,,
,6S,Something Special,,,,,,,,,,
,BA,Basic,,,,,,,,,,
,DE,Deluxe,,,,,,,,,,
,DE+,Deluxe plus,,,,,,,,,,
,LU,Luxury,,,,,,,,,,
,OL,Overland camping,,,,,,,,,,
,PTF,Private transfer,,,,,,,,,,
,ST,Standard,,,,,,,,,,
,STF,Shared transfer,,,,,,,,,,
,SUP,Superior,,,,,,,,,,
,TE,Basic tented camping,,,,,,,,,,
,,,,,,,,,,,,
Cost Summary,,,,,,,,,,,,
,Code,Description,,,,,,,,,,
,,Unassigned,,,,,,,,,,
,AC,Accommodation,,,,,,,,,,
,EF,Entrance Fees / Attractions,,,,,,,,,,
,FL,Flights,,,,,,,,,,
,NA,All other non-accommodation,,,,,,,,,,
,PK,Packages,,,,,,,,,,
,RC,Rental Cars,,,,,,,,,,
,RL,Rail,,,,,,,,,,
,TR,Transport,,,,,,,,,,
,,,,,,,,,,,,
Product Ranking,,,,,,,,,,,,
,Code,Description,,,,,,,,,,
,,Unassigned,,,,,,,,,,
,BL,Blacklisted,,,,,,,,,,
,OT,Other,,,,,,,,,,
,PR,Preferred,,,,,,,,,,
,ST,Strategic,,,,,,,,,,
,,,,,,,,,,,,
CHAIN,,,,,,,,,,,,
,Code,Description,,,,,,,,,,
,,Unassigned,,,,,,,,,,
,SO,Sopa Lodges,,,,,,,,,,
,,,,,,,,,,,,
External,,,,,,,,,,,,
,Code,Description,,,,,,,,,,
,,Unassigned,,,,,,,,,,
,EX,External,,,,,,,,,,
,IN,Internal,,,,,,,,,,
,,,,,,,,,,,,
Product Analysis 5,,,,,,,,,,,,
,Code,Description,,,,,,,,,,
,,Unassigned,,,,,,,,,,
,,,,,,,,,,,,
Product Analysis 6,,,,,,,,,,,,
,Code,Description,,,,,,,,,,
,,Unassigned,,,,,,,,,,
,KE,Kenya,,,,,,,,,,
,TZ,Tanzania,,,,,,,,,,
,,,,,,,,,,,,
Discount/Commission,,,,,,,,,,,,
,,,,,,,,,,,,
Sequence,Level,Entry Type,Code,Description,Service Period,Sale Period,Amount,Amount Type,Factor,Round,,
,300,Service,Markup,SUNWAY,Sunway Sufary,Unrestricted,Unrestricted,0,Percentage,None,Round Standard,
,302,Service,Markup,MAKUTSI,Makutsi 0% mark up,Unrestricted,Unrestricted,0,Percentage,None,Round Standard,
,305,Service,Markup,PAK TIA O%,Packages no markup,Unrestricted,Unrestricted,0,Percentage,None,Round Standard,
,310,Service,Markup,ACACIA,ACACIA Gross,Unrestricted,Unrestricted,0,Percentage,None,Round Standard,
,315,Service,Markup,NOMAD,Nomad Tours Mark up,Unrestricted,Unrestricted,0,Percentage,None,Round Standard,
,320,Service,Markup,GIRAFFE MA,Giraffe Manor Gross,Unrestricted,Unrestricted,0,Percentage,None,Round Standard,
,325,Service,Markup,30% PKG,30% Packages,Unrestricted,Unrestricted,30,Percentage,None,Round Standard,
,330,Service,Markup,RAIL,% mark up,Unrestricted,Unrestricted,0,Percentage,None,Round Standard,
,335,Service,Markup,TFR,TFR Test,Unrestricted,Unrestricted,30,Percentage,None,Round Standard,
,340,Service,Markup,30% TFR,30% Transfers,Unrestricted,Unrestricted,30,Percentage,None,Round Standard,
,345,Service,Markup,30% DAY,30% Day tours,Unrestricted,Unrestricted,30,Percentage,None,Round Standard,
,350,Service,Markup,30% GT,30% Group Tours,Unrestricted,Unrestricted,30,P,,,
,,,,,,,,,,,,
Amenity Category,,,,,,,,,,,,
,Code,Description,,,,,,,,,,
,CTY,Country,,,,,,,,,,
,HTL,Hotels,,,,,,,,,,
,RES,Restaurant,,,,,,,,,,
,ROM,Room,,,,,,,,,,
,VEH,Vehicle,,,,,,,,,,
,,,,,,,,,,,,
Amenities,,,,,,,,,,,,
,Code,Category,Description,,,,,,,,,
,4X4VEH,VEH,4x4 Safari vichicle,,,,,,,,,
,BW,CTY,Botswana,,,,,,,,,
,ET,CTY,Ethiopia,,,,,,,,,
,HAIRCO,HTL,Air Conditioning,,,,,,,,,
,HAPTSH,HTL,Airport Shuttle,,,,,,,,,
,HBABYS,HTL,Babysitting Service,,,,,,,,,
,HCARPK,HTL,Car Park,,,,,,,,,
,HFITCE,HTL,Fitness Centre,,,,,,,,,
,HRESTA,HTL,Restaurant,,,,,,,,,
,HROOMS,HTL,Room Service,,,,,,,,,
,HSPA,HTL,Spa,,,,,,,,,
,HSWIMM,HTL,Swimming Pool,,,,,,,,,
,HWIFIF,HTL,WIFI - Free,,,,,,,,,
,KE,CTY,Kenya,,,,,,,,,
,LS,CTY,Lesotho,,,,,,,,,
,MBAR,RES,Bar,,,,,,,,,
,MCHILD,RES,Child Friendly,,,,,,,,,
,MG,CTY,Madagascar,,,,,,,,,
,MGUDOG,RES,Guide Dog,,,,,,,,,
,MU,CTY,Mauritius,,,,,,,,,
,MW,CTY,Malawi,,,,,,,,,
,MWHEEL,RES,Wheelchair Facilities,,,,,,,,,
,MWIFI,RES,Free WIFI,,,,,,,,,
,MZ,CTY,Mozambique,,,,,,,,,
,NA,CTY,Namibia,,,,,,,,,
,RBATHT,ROM,Bathtub,,,,,,,,,
,RE,CTY,Reunion,,,,,,,,,
,RELCKE,ROM,Electric Kettle,,,,,,,,,
,RFSCTV,ROM,Flat Screen TV,,,,,,,,,
,RHAIRD,ROM,Hair Dryer,,,,,,,,,
,RMSAFE,ROM,Safe in the room,,,,,,,,,
,RSMOKI,RES,Smoking Area,,,,,,,,,
,RTEACO,ROM,Tea/Coffee maker,,,,,,,,,
,RW,CTY,Rwanda,,,,,,,,,
,RWIFI,ROM,WIFI,,,,,,,,,
,SA,CTY,South Africa,,,,,,,,,
,SC,CTY,Seychelles,,,,,,,,,
,SMLGRP,VEH,Small tour group,,,,,,,,,
,SZ,CTY,eSwatini (Swaziland),,,,,,,,,
,TZ,CTY,Tanzania,,,,,,,,,
,UG,CTY,Uganda,,,,,,,,,
,VAIRCO,VEH,Air Conditioning,,,,,,,,,
,VAUTOM,VEH,Automatic,,,,,,,,,
,VMANUA,VEH,Manual,,,,,,,,,
,VSATNA,VEH,Satellite Navigation,,,,,,,,,
,ZA,CTY,South Africa,,,,,,,,,
,ZM,CTY,Zambia,,,,,,,,,
,ZW,CTY,Zimbabwe,,,,,,,,,
,,,,,,,,,,,,
Product Setup,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Suppliers Codes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
