Group tours filters by country,Show only these destinations,No Filter?,Filter,0 = no change
,,,,
Botswana,Kenya | Tanzania,results,no results,
,,,,
,Zimbabwe,1,1,CPTPKTVT001CTRCO
South Africa/Cape Town Airport/Luxury,South Africa,8,0,
,Botswana,7,7,CPTPKTHISSASCENLX
,,,,CPTPKTVT001CTCLTB
,,,,CPTPKTVT001CTCLVA
,,,,CPTPKTVT001CTERTB
,,,,CPTPKTVT001CTERVC
,,,,CPTPKTVT001CTEXTB
,,,,CPTPKTVT001CTEXVA
,Namibia,6,6,CPTPKTVT001CTCLTB
,,,,CPTPKTVT001CTCLVA
,,,,CPTPKTVT001CTERTB
,,,,CPTPKTVT001CTERVC
,,,,CPTPKTVT001CTEXTB
,,,,CPTPKTVT001CTEXVA
,Zimbabwe,1,1,CPTPKTHISSASCENLX
South Africa/Cape Town Airport/standard,South Africa,7,0,
,Botswana,6,6,CPTPKTHISSAGRANDS
,,,,CPTPKTHISSASCENST
,,,,CPTPKTVT001CTCLHO
,,,,CPTPKTVT001CTERHO
,,,,CPTPKTVT001CTERPW
,,,,CPTPKTVT001CTEXHO
,Kenya,1,1,CPTPKTHISSAGRANDS
,Namibia,4,4,CPTPKTVT001CTCLHO
,,,,CPTPKTVT001CTERHO
,,,,CPTPKTVT001CTERPW
,,,,CPTPKTVT001CTEXHO
,Rwanda,1,1,CPTPKTHISSAGRANDS
,Tanzania,1,1,CPTPKTHISSAGRANDS
,Uganda,1,1,CPTPKTHISSAGRANDS
,Zambia,1,1,CPTPKTHISSAGRANDS
,Zimbabwe,2,2,CPTPKTHISSAGRANDS
,,,,CPTPKTHISSASCENST
South Africa/Hoedspruit Airport/Deluxe,South Africa,1,1,
,Botswana,1,0,
,Namibia,1,0,
South Africa/Hoedspruit Airport/standard,South Africa,2,0,
South Africa/Johannesburg Airport/Deluxe,South Africa,1,0,
,Botswana,1,0,
,Zimbabwe,1,0,
South Africa/Johannesburg Airport/standard,South Africa,2,0,
South Africa/SabiSabiGameREserve/Luxury,,1,1,
,,,,
Uganda/Entebbe Airport/Basic,Uganda,1,0,
Uganda/Entebbe Airport/deluxe,Uganda,1,0,
Uganda/Entebbe Airport/standard,Uganda,2,0,
,,,,
Zambia/Livingstone Airport/Luxury,Zambia,1,0,
,Botswana,1,0,
,Namibia ,1,0,
Zambia/Livingstone Airport/standard,Zambia,1,0,
,Botswana,1,0,
,Namibia ,1,0,
Zimbabwe/Victoria Falls Airport/Deluxe,Zimbabwe,20,0,
,Botswana,18,18,
,Namibia ,13,13,
Zimbabwe/Victoria Falls Airport/luxury,,18,18,
,Zimbabwe,16,16,
,Namibia ,12,12,
,Botswana,15,15,
Zimbabwe/Victoria Falls Airport/standard,Zimbabwe,6,0,
,Botswana,6,6,
,Namibia ,3,3,
,,,,
,,,,
CRUISE,,,,
,,,,
Botswana/Kasane Airport/Luxury,Botswana,2,0,BBKCRTVT001ZAM2N
,,,,BBKCRTVT001ZAM3NS
,Namibia,2,0,
Botswana/Kasane Airport/Standard,Botswana,2,0,BBKCRCHO018TIACP2
,,,,BBKCRCHO018TIACP3
,Namibia,2,0,
Botswana/Kasane Airport/Superior,Botswana,2,0,BBKCRTVT001ZAM2NM
,,,,BBKCRTVT001ZAM3NM
,Namibia,2,0,
,,,,
,,,,
RAIL,,,,
,,,,
South Africa/Cape Town Rail Station/Luxury,South Africa,3,0,CPTRLROV001CTPPUL
,,,,CPTRLROV001CTPRRO
,,,,CPTRLROV001RRCTPR
South Africa/Pretoria Rail Station/Luxury,South Africa,3,0,PRYRLROV001PRCPPM
,,,,PRYRLROV001PRCPRY
,,,,PRYRLROV001ROV004
Zimbabwe/Victoria Falls Rail Station/Luxury,South Africa,3,0,VFARLROV001VFPRDX
,,,,VFARLROV001VFPRRY
,,,,VFARLROV001VFPYPM
,Zimbabwe,3,0,VFARLROV001VFPRDX
,,,,VFARLROV001VFPRRY
,,,,VFARLROV001VFPYPM
